63,57,23,62,23,0,0,6,0,0,0,0,0,0,0,0,0,2
72,2,14,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0
24,0,48,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
11,49,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,10,18,0,0,0,0,0,0,0,5,0,0,0,0,2,0
13,19,7,9,5,0,0,2,0,0,0,0,0,0,0,0,0,0
4,32,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0
10,0,13,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0
0,2,0,6,2,0,11,8,0,0,2,0,0,2,0,0,0,0
2,18,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
9,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,2,0,2,0,0,0,11,0,0,0,0,0,0,0,0
3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
