473,70,103,555,49,49,51,57,25,33,0,0,0,8,0,0,0
283,475,485,29,48,18,9,19,9,9,0,9,0,0,0,0,0
269,372,80,0,6,80,0,0,0,0,0,0,0,0,0,0,0
279,15,23,61,42,4,19,0,27,4,4,0,0,0,0,0,0
105,8,14,36,72,19,6,3,0,0,0,0,0,0,3,0,0
26,26,149,3,6,0,0,3,0,0,0,0,0,0,0,0,0
95,0,6,34,8,6,8,0,6,8,17,0,8,0,0,0,0
64,0,4,14,47,0,10,9,0,0,0,0,0,0,0,0,0
20,45,36,10,0,0,0,2,0,0,0,0,0,0,0,0,0
62,3,0,4,2,0,23,6,0,0,0,0,0,0,3,3,0
6,0,0,0,2,0,0,2,5,2,0,0,0,0,0,0,0
7,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0
2,2,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0
2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
