1879,1367,1184,0,18,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,1154,0,516,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3,0,7,0,709,0,0,7,3,0,0,4,10,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,198,4,193,0,120,2,21,8,0,0,0,0,17,0,22,0,9,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,5,200,0,3,0,0,64,0,0,39,24,0,2,21,0,8,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,2,3,0,129,0,0,7,4,40,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,3,2
0,0,2,0,2,0,0,0,0,0,0,0,78,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,6,0,2,0,2,0,0,0
0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
